,ppm,hm,sensor,strain,max
317,0.6,Pb,zraP,ALE2,1.1118031526336023
318,1,Pb,zraP,ALE2,0.8875806634212612
319,1,Pb,zraP,ALE2,0.8852903885935449
320,1,Pb,zraP,ALE2,1.0396855585140103
321,2,Pb,zraP,ALE2,1.0556631527335132
322,2,Pb,zraP,ALE2,0.922871695
323,2,Pb,zraP,ALE2,1.2974817221770916
324,0,0,0,0,2.7746113989637307
325,0,0,0,0,2.6561838524342303
326,0,0,0,0,2.253858024691358
327,0.01,Cu,cusC,ALE3,2.6507729112992267
328,0.01,Cu,cusC,ALE3,4.315319399737045
329,0.01,Cu,cusC,ALE3,1.9661407153686339
330,0.02,Cu,cusC,ALE3,2.052191964591718
331,0.02,Cu,cusC,ALE3,3.725886917960088
332,0.02,Cu,cusC,ALE3,2.8700999524036175
333,0.03,Cu,cusC,ALE3,2.040040583603653
334,0.03,Cu,cusC,ALE3,1.9166741743996318
335,0.03,Cu,cusC,ALE3,3.277231655247741
336,0.04,Cu,cusC,ALE3,2.2030434782608697
337,0.04,Cu,cusC,ALE3,3.4585838290925643
338,0.04,Cu,cusC,ALE3,2.1089547865049583
339,0.06,Cu,cusC,ALE3,2.0590631364562118
340,0.06,Cu,cusC,ALE3,2.9263583226662147
341,0.06,Cu,cusC,ALE3,1.9741224698949527
342,0.1,Cu,cusC,ALE3,2.042462058506882
343,0.1,Cu,cusC,ALE3,2.6915161024953536
344,0.1,Cu,cusC,ALE3,2.6847846889952156
345,0.2,Cu,cusC,ALE3,4.266452839154193
346,0.2,Cu,cusC,ALE3,4.289110794103662
347,0.2,Cu,cusC,ALE3,3.602690346404079
348,0.3,Cu,cusC,ALE3,6.734736590324702
349,0.3,Cu,cusC,ALE3,6.240826625692496
350,0.3,Cu,cusC,ALE3,5.356789816441039
351,0.4,Cu,cusC,ALE3,8.359902278189367
352,0.4,Cu,cusC,ALE3,9.008854874
353,0.4,Cu,cusC,ALE3,7.654433152087551
354,0.6,Cu,cusC,ALE3,15.369085862890362
355,0.6,Cu,cusC,ALE3,14.827834745133005
356,0.6,Cu,cusC,ALE3,12.988348609600745
357,1,Cu,cusC,ALE3,18.761620732208968
358,1,Cu,cusC,ALE3,22.710418859674487
359,1,Cu,cusC,ALE3,20.09259412007306
360,2,Cu,cusC,ALE3,14.531500624901964
361,2,Cu,cusC,ALE3,17.880144040694013
362,2,Cu,cusC,ALE3,15.118273450687244
363,0.01,Cu,cusC,ALE4,2.101934651762683
364,0.01,Cu,cusC,ALE4,6.2048839477277165
365,0.01,Cu,cusC,ALE4,2.7440009098146256
366,0.02,Cu,cusC,ALE4,2.0969473786219592
367,0.02,Cu,cusC,ALE4,1.9654697134566559
368,0.02,Cu,cusC,ALE4,2.0813453114272176
369,0.03,Cu,cusC,ALE4,2.2600877192982454
370,0.03,Cu,cusC,ALE4,2.3206567642347458
371,0.03,Cu,cusC,ALE4,4.473613675449646
372,0.04,Cu,cusC,ALE4,2.331908439051296
373,0.04,Cu,cusC,ALE4,2.5948438978240302
374,0.04,Cu,cusC,ALE4,2.237654320987654
375,0.06,Cu,cusC,ALE4,2.5223628691983118
